Codigo   Nome                                                                                                Classe
1968     OXICLORETO DE COBRE                                                                                 6840
1969     IPRODIONA                                                                                           6840
1970     TRIFLOXISTROBINA                                                                                    6840
1971     TIOFANATO-METÍLICO                                                                                  6840
1972     EVEROLIMO                                                                                           6505
1973     CAPTANA                                                                                             6840
1974     MANCOZEBE                                                                                           6840
1975     TEBUCONAZOL                                                                                         6840
1976     CRESOXIM METÍLICO                                                                                   6840
1977     DITIANONA                                                                                           6840
1978     FENTIONA                                                                                            6840
1979     PARAQUATE                                                                                           6840
1980     GLIFOSATO                                                                                           6840
1981     METIRAM                                                                                             6840
1982     ÁLCOOL OCTÍLICO                                                                                     6810
1983     GLIOXAL                                                                                             6810
1984     ÁCIDO CLORÍDRICO DILUÍDO                                                                            6810
1985     LUFENUROM                                                                                           6840
1986     ESPINOSADE                                                                                          6840
1987     FOSFETO DE ALUMÍNIO                                                                                 6840
1988     ÁCIDO 2,4-DICLOROFENOXIACÉTICO                                                                      6840
1989     TRIFLUMUROM                                                                                         6840
1990     1,6-DIAMINOHEXANO                                                                                   6810
1991     ÁCIDO LINOLÊICO                                                                                     6810
1992     ÁCIDO LÁTICO                                                                                        6810
1993     NITROBENZENO                                                                                        6810
1994     ÁCIDO SULFUROSO                                                                                     6810
1995     ÁCIDO LINOLÊNICO                                                                                    6810
1996     ÁCIDO 2,6-DIPICOLÍNICO                                                                              6810
1997     ÁCIDO MALEICO                                                                                       6810
1998     CEFOTAXIMA                                                                                          6810
1999     ÁCIDO MALÔNICO                                                                                      6810
2000     ÁCIDO MEFENÂMICO                                                                                    6505
2001     ÁCIDO MOLÍBDICO                                                                                     6810
2002     ÁCIDO CLOROSULFÔNICO                                                                                6810
2003     NICOSSULFUROM                                                                                       6840
2004     ÁCIDO GLICIRRÍZICO                                                                                  6810
2005     ÁCIDO NALIDÍXICO                                                                                    6810
2006     ÁCIDO MUCOPOLISSACÁRIDO-POLISSULFÚRICO                                                              6505
2007     ÁCIDO N-BUTÍRICO                                                                                    6810
2008     ÁCIDO NALIDÍXICO                                                                                    6505
2009     ÁCIDO NICOTÍNICO                                                                                    6810
2010     ÁCIDO NICOTÍNICO                                                                                    6505
2011     ÁCIDO OLÉICO                                                                                        6810
2012     ÁCIDO 2,7-BIS(2-ARSONOFENILAZO)CROMOTRÓPICO                                                         6810
2013     ÁCIDO OXÁLICO                                                                                       6810
2014     ÁCIDO P-CUMÁRICO                                                                                    6810
2015     ÁCIDO TÂNICO                                                                                        6810
2016     BROMOFENIL-TRIFLUORBORATO DE POTÁSSIO                                                               6810
2017     ÁCIDO PERACÉTICO                                                                                    6840
2018     ÁCIDO PERCLÓRICO                                                                                    6810
2019     ÁCIDO PERIÓDICO                                                                                     6810
2020     ÁCIDO PÍCRICO                                                                                       6810
2021     ÁCIO TIOGLICÓLICO                                                                                   6810
2022     4-FLUOROBENZILA                                                                                     6810
2024     ÁCIDO ROSÓLICO                                                                                      6810
2025     ÁCIDO SALICÍLICO                                                                                    6505
2026     CARBONATO DE COBRE                                                                                  6810
2027     ÁCIDO SALICÍLICO                                                                                    6810
2028     ÁCIDO SULFÂMICO                                                                                     6810
2029     ÁCIDO 5-SULFOSALICÍLICO                                                                             6810
2030     ÁCIDO TARTÁRICO                                                                                     6810
2031     TELBIVUDINA                                                                                         6505
2032     ÁCIDO TRANEXÂMICO                                                                                   6505
2033     DISPRÓSIO                                                                                           6810
2034     VIMPOCETINA                                                                                         6505
2035     ÁCIDO URSODESOXICÓLICO                                                                              6505
2036     ÁCIDO VALPRÓICO                                                                                     6505
2037     ÁCIDO P-NITROBENZÓICO                                                                               6810
2038     ÁCIDO 3-N-MORFOLINO PROPANSULFÔNICO (MOPS)                                                          6810
2039     ACIDULANTE                                                                                          6850
2040     ACIONADOR DE JOGO TIPO JOYSTICK                                                                     7820
2042     ACIONADOR ELETROMAGNÉTICO                                                                           5945
2043     ACIONADOR ESPOLETA                                                                                  1375
2044     ACIONADOR / JOYSTICK                                                                                6350
2046     ACIONAMENTO ELETRICO - TORNEIRA / CHUVEIRO                                                          4540
2047     FERRO CHATO                                                                                         9510
2050     ACOPLADOR OPTRÔNICO                                                                                 5980
2052     ACOPLAMENTO FLEXIVEL                                                                                3040
2053     ACOPLAMENTO HIDRODINAMICO                                                                           3040
2054     ACOPLAMENTO MECANICO RIGIDO                                                                         3040
2055     MÓDULO VEDAÇÃO                                                                                      9390
2058     AMENDOIM INDUSTRIAL                                                                                 8925
2062     ACUCAR NAO REFINADO                                                                                 8925
2063     AÇÚCAR                                                                                              8925
2065     ACUMULADOR DE CILINDRO HIDRAULICO DE AERONAVE                                                       2915
2066     ACUMULADOR DE PRESSAO                                                                               3040
2067     ACUMULADOR E ACESSÓRIO                                                                              9999
2071     ACUMULADOR NUCLEAR NAO RECARREGAVEL                                                                 4470
2072     TOSADOR USO VETERINÁRIO                                                                             6515
2073     ADAPTADOR                                                                                           6515
2074     ADAPTADOR BROCA ODONTOLÓGICA                                                                        6520
2075     ADAPTADOR CONE RAIO X                                                                               6525
2076     ADAPTADOR DE ANTENA                                                                                 5985
2079     PONTO DE ACESSO                                                                                     7025
2082     ADAPTADOR DE COMPASSO DE DESENHISTA                                                                 6675
2083     CADERNO DIGITAL/DIGITALIZADOR                                                                       7025
2084     ADAPTADOR DE CONTADOR                                                                               5962
2085     ADAPTADOR                                                                                           5935
2086     ADAPTADOR DE FERRAMENTA MANUAL                                                                      5120
2087     ADAPTADOR FILTRO                                                                                    6640
2089     ADAPTADOR DE TERMINAL DE BATERIA                                                                    5940
2091     REGULADOR DE CILINDRO DE GAS                                                                        8120
2093     ADAPTADOR GARRAFA TÉRMICA                                                                           7330
2094     ADAPTADOR HIDRAULICO DE BOMBA DE LUBRIFICACAO                                                       4930
2095     ADAPTADOR PARA GRAVADOR SONORO                                                                      5835
2096     ADAPTADOR PARA LUZ DE REFLETOR                                                                      6210
2097     CONECTOR P/ SONDA GASTROSTOMIA                                                                      6515
2100     ADENOSINA                                                                                           6505
2102     ADESIVO PROPAGANDA                                                                                  9905
2103     ADESIVO CIRURGICO                                                                                   6515
2104     ADESIVO COLAGEM                                                                                     8040
2106     ADESIVO JUNTA MOTOR                                                                                 8040
2107     ADESIVO USO GERAL                                                                                   8040
2108     CADEIRA ODONTOLÓGICA                                                                                6520
2110     ADIPIODONA MEGLUMINA                                                                                6505
2112     AGENTE FOSFATIZANTE                                                                                 6850
2113     ADITIVO DE ELASTOMETRO                                                                              6850
2114     ADITIVO FOTOGRAFICO                                                                                 6750
2115     ADITIVO LUBRIFICANTE                                                                                6850
2116     ADITIVO                                                                                             6850
2117     ADITIVO RADIADOR                                                                                    6850
2118     NIMOTUZUMABE                                                                                        6505
2119     ADRICA DE BANDEIRA                                                                                  4020
2120     ALFAGALSIDASE                                                                                       6505
2121     ADUBADEIRA USO MANUAL                                                                               3710
2122     ADUBO QUÍMICO                                                                                       8720
2124     AERADOR                                                                                             4630
2125     AEROGRAFO                                                                                           6675
2126     AEROGRAFO ( METEOROLOGIA)                                                                           6660
2127     AEROGRAFO PARA PINTURA                                                                              6675
2131     N,N-(DIMETIL)ETILENODIAMINA                                                                         6810
2132     AEROMETRO PARA ANALISE QUIMICA                                                                      6630
2133     AEROMETRO PARA LABORATORIO                                                                          6640
2134     FTALATO DE DIBUTILA                                                                                 6810
2137     PEÇAS / ACESSÓRIOS AEROMODELO                                                                       1550
2138     AFASTADOR CIRÚRGICO                                                                                 6515
2139     PUPILÔMETRO                                                                                         6540
2140     AFERIDOR                                                                                            5220
2141     AFIADOR FACA MANUAL/ELÉTRICO                                                                        7330
2142     CONJUNTO AFIADOR FERRAMENTA                                                                         3460
2143     AFIADOR DE FERRAMENTA DE PRECISAO                                                                   5220
2146     ÁGAR                                                                                                6550
2147     ERLOSAMIDA                                                                                          6505
2148     DINOPROSTONA                                                                                        6505
2149     BETACAROTENO                                                                                        6505
2152     UMECTANTE                                                                                           6850
2153     AGENTE EMBÓLICO                                                                                     6515
2154     DIFENOCONAZOL                                                                                       6840
2155     AGLUTINOSCOPIO                                                                                      6640
2157     P-TOLUIDINA                                                                                         6810
2159     HIDRÓXIDO DE CÁLCIO DILUÍDO                                                                         6810
2161     ÁGUA DESIONIZADA                                                                                    6550
2162     ÁGUA DESTILADA                                                                                      6550
2163     HIDRÓXIDO DE SÓDIO DILUÍDO                                                                          6810
2164     ÁGUA POTÁVEL                                                                                        8960
2165     ÉSTER METÍLICO DA N-OMEGA-NITRO-L-ARGININA                                                          6810
2166     ÁGUA SANITÁRIA                                                                                      7930
2167     ÁGUA TÔNICA                                                                                         8960
2169     AGULHA DE FÍSTULA                                                                                   6515
2170     AGULHA ACUPUNTURA                                                                                   6515
2171     AGULHA HIPODÉRMICA                                                                                  6515
2173     CURATIVO                                                                                            6510
2175     AGULHA DE BIÓPSIA                                                                                   6515
2176     AGULHA COLETA SANGUE À VÁCUO                                                                        6515
2177     AGULHA COURO VAZADOR                                                                                8315
2178     AGULHA ANESTÉSICA                                                                                   6515
2181     AGULHA DE BORDAR                                                                                    8315
2182     EQUIPO ESPECIAL                                                                                     6515
2183     AGULHA EQUIPAMENTO FONOGRÁFICO                                                                      5835
2185     POLIETILENOGLICOL                                                                                   6515
2189     AGULHA DE PARA - RAIOS TIPO FRANKLIM                                                                5920
2192     AGULHA DESCARTÁVEL                                                                                  6515
2194     AGULHA GRAVADORA DE ESTENCIL                                                                        6675
2198     AGULHA PARA ESTOFAR                                                                                 8315
2203     AGULHA SUTURA                                                                                       6515
2207     AIPIM IN NATURA                                                                                     8915
2208     ALAMBIQUE DESTILADOR DE AGUA                                                                        4620
2209     BETAGALSIDASE                                                                                       6505
2210     ALARANJADO DE XILENOL                                                                               6810
2211     APARELHO ORTODÔNTICO                                                                                6520
2214     ALARGADOR POÇO PETRÓLEO                                                                             3835
2215     ALARGADOR INDUSTRIAL DE TUBO                                                                        3441
2217     ALARGADOR PARA FERRAMENTA MANUAL                                                                    5110
2218     ALARGADOR PARA MAQUINA - FERRAMENTA                                                                 3455
2219     ALARME DE FUSIVEL QUEIMADO                                                                          6350
2220     ALARME DE PRESSAO DE OXIGENIO DE AERONAVE                                                           6340
2221     ALARME DE PRESSAO DO OLEO COMBUSTIVEL DE AERONAVE                                                   6340
2222     ALARME DE TREM DE POUSO                                                                             6340
2223     ALARME MANUAL CONTRA GAS                                                                            6350
2224     ALARME                                                                                              6515
2226     ALARME SONORO CONTRA INTRUSAO PREDIAL                                                               6350
2228     ALARME TIPO SIRENE INTERMITENTE                                                                     6350
2229     ALAVANCA CIRÚRGICA                                                                                  6515
2231     ALAVANCA DE USO FERROVIARIO                                                                         2250
2233     ALAVANCA VEÍCULO AUTOMOTIVO                                                                         2520
2234     ALAVANCA                                                                                            5120
2237     FOLHA ENCAIXE FOTOGRAFIA                                                                            6760
2238     ÁLCOOL ISOPROPÍLICO                                                                                 6515
2239     ALBUMINA HUMANA                                                                                     6505
2240     ALÇA METAL FERROSO                                                                                  9515
2242     ALÇA BACTERIOLÓGICA                                                                                 6640
2243     FURFURAL                                                                                            6810
2246     ALCA SALVAMENTO ( SLING )                                                                           4240
2247     ALCALINOMETRO                                                                                       6630
2248     ALCATRAO VEGETAL                                                                                    9110
2249     ÁLCOOL ANIDRO COMBUSTÍVEL                                                                           9135
2250     ÁLCOOL AMÍLICO                                                                                      6810
2251     ACETONA DILUÍDA                                                                                     6810
2252     ÁLCOOL POLIVINÍLICO                                                                                 6505
2254     ÁLCOOL CANFORADO                                                                                    6810
2255     ÁLCOOL POLIVINÍLICO (PVA)                                                                           6810
2256     ÁLCOOL CETOESTEARÍLICO                                                                              6810
2257     ÁCIDO MEDRÔNICO                                                                                     6810
2259     ÁLCOOL ETÍLICO                                                                                      6505
2260     ÁLCOOL CETÍLICO                                                                                     6810
2261     ALILAMINA                                                                                           6810
2262     BENZILAMINA                                                                                         6810
2263     ÁLCOOL PROPÍLICO                                                                                    6810
2265     ÁLCOOL METÍLICO                                                                                     6810
2266     ÁLCOOL CAPRÍLICO                                                                                    6810
2268     ALCOÔMETRO                                                                                          6640
2269     TIRAMINA                                                                                            6810
2270     BENZENOSSULFONAMIDA                                                                                 6810
2271     ALDRABA                                                                                             5340
2273     ALENDRONATO DE SÓDIO                                                                                6505
2274     ALETA LUMINÁRIA                                                                                     6210
2275     ALFACALCIDOL                                                                                        6505
2277     ALFENTANILA CLORIDRATO                                                                              6505
2278     ALFINETE                                                                                            6515
2279     ALFINETE DE GRAVATA                                                                                 8440
2281     PINÇA LABORATÓRIO                                                                                   6640
2282     ALFORGE                                                                                             8105
2285     ALGARISMO DE ACO                                                                                    7520
2286     ALGEMA DE VEICULO                                                                                   2510
2287     ALGICIDA                                                                                            6850
2288     ALGINATO                                                                                            6520
2292     ALGODAO DE ENVERNIZAMENTO                                                                           8020
2293     ALGODÃO INDUSTRIAL                                                                                  7510
2294     ALGODAO EM ESTADO BRUTO                                                                             9420
2296     ALGODAO EM PASTA PARA FORRO                                                                         8320
2298     ALHO EM PASTA                                                                                       8950
2299     ALHO EM PO                                                                                          8950
2301     ALICATE - USO HOSPITALAR                                                                            6530
2302     ALICATE                                                                                             6515
2303     ALICATE ORTODÔNTICO                                                                                 6520
2304     ALICATE AMPERÍMETRO                                                                                 5210
2305     ALICATE BICO                                                                                        5110
2306     ALICATE COMPRESSÃO HIDRÁULICO                                                                       5120
2307     ALICATE COMPRESSÃO MECÂNICO                                                                         5120
2308     ALICATE DE CORTE                                                                                    5110
2309     DECAPADOR                                                                                           5110
2310     ALICATE DE MANICURE                                                                                 8530
2311     ALICATE DE PRESSÃO                                                                                  5120
2312     ALICATE EMPALMADOR DE TERMINAL                                                                      5120
2313     ALICATE PARA CLIMPAR                                                                                5120
2314     ALICATE PARA COMPRESSAO DO LACRE CHUMBO                                                             5120
2315     ALICATE PARA CORTAR UNHA                                                                            8530
2317     ALICATE ORDENHA DE TUBOS COLETA SANGUE/DERIVADOS                                                    6515
2318     ALICATE REBITADOR PEÇAS / ACESSÓRIOS                                                                5120
2319     ELETRODO                                                                                            6640
2320     ALICATE TRAVADOR                                                                                    5120
2321     ALIDADE NIVELADORA                                                                                  6675
2322     ALIMENTADOR DE FORNALHA AUTOMÁTICO                                                                  4530
2323     ALIMENTADOR DE MAQUINA DE SERRARIA                                                                  3230
2324     ALIMENTADOR MATERIAL SECO                                                                           3915
2325     ALIMENTADOR DE MUNICAO                                                                              4925
2326     ALIMENTADOR DE PEÇA                                                                                 3915
2327     ALIMENTO CONGELADO CONSUMO HUMANO                                                                   8940
2328     ALIMENTO DIETÉTICO INDUSTRIALIZADO                                                                  8940
2330     ALIMENTO MANUFATURADO PARA ANIMAL                                                                   8710
2333     ALINHADOR DE CHASSIS                                                                                4910
2334     ALINHADOR DE TRILHO FERROVIARIO                                                                     2230
2335     ALINHADOR FAROL - VEÍCULO AUTOMOTIVO                                                                4910
2336     ALINHADOR RODA - VEICULO AUTOMOTIVO                                                                 4910
2337     ALIZAR DE MADEIRA                                                                                   5520
2340     ALMITRINA BISMESILATO                                                                               6505
2341     ALMOFADA ASSENTO - VEÍCULO AUTOMOTIVO                                                               2540
2343     ALMOFADA                                                                                            6515
2344     ALMOFADA ASSENTO                                                                                    7210
2346     ALMOFADA EMBALAGEM                                                                                  8135
2347     ALMOFADA DE ESQUIFE                                                                                 9930
2348     ALMOFADA MÁQUINA DE DUPLICAR                                                                        3610
2351     MONTADORA LÂMINA HISTOLÓGICA                                                                        6640
2352     ALMOFADA COLETA IMPRESSÃO DIGITAL                                                                   7520
2353     ALMOFADA INDUSTRIAL DE MAQUINA DE PASSAR ROUPA                                                      3510
2356     SUPORTE DESEMPENO                                                                                   4940
2358     ALOJAMENTO FLUTUANTE                                                                                1945
2359     ALOJAMENTO PRE - FABRICADO                                                                          5410
2360     ALOPURINOL                                                                                          6505
2362     ALPRAZOLAM                                                                                          6505
2363     ALPROSTADIL                                                                                         6505
2364     ALTAR                                                                                               9925
2365     ALTEPLASE                                                                                           6505
2367     ALTERNADOR VEÍCULO AUTOMOTIVO                                                                       2920
2368     ALTÍMETRO                                                                                           6675
2369     ALTIMETRO DE AERONAVE                                                                               6610
2370     ALTIMETRO PARA TOPOGRAFIA                                                                           6675
2371     ALTÍMETRO PORTATIL                                                                                  5210
2372     ALTO-FALANTE                                                                                        5965
2377     CLOROBENZENO                                                                                        6810
2378     ALVEJANTE TECIDO                                                                                    7930
2379     AMÁLGAMA                                                                                            6520
2380     ALVEOLÓTOMO                                                                                         6520
2381     ALVO DE ARCO E FLEXA                                                                                7810
2382     ALVO DE TIRO                                                                                        6920
2383     BASE ALVO DE TIRO                                                                                   6920
2384     AMACIADOR DE CARNE                                                                                  8950
2385     AMACIADOR ELETRICO DE CARNE                                                                         7330
2387     AMACIANTE DE ROUPA                                                                                  7930
2389     DEMECOLCINA                                                                                         6810
2391     AMARRA - MARINHA                                                                                    4020
2392     AMARRA CORRENTE ( EPI )                                                                             4240
2393     AMASSADOR ELETRICO DE ALIMENTO                                                                      7320
2394     AMASSADOR ALIMENTO                                                                                  7330
2395     ÂMBULA                                                                                              9925
2396     AMBULÂNCIA                                                                                          2320
2397     AMÊNDOA                                                                                             8925
2398     AMÊNDOA IN NATURA                                                                                   8915
2399     AMENDOA SECA                                                                                        8925
2400     AMENDOIM IN NATURA                                                                                  8925
2401     AMIANTO                                                                                             9620
2403     RESINA TROCA IÔNICA                                                                                 6640
2405     AMISSULPRIDA                                                                                        6505
2406     LAPATINIBE                                                                                          6505
2407     METILDOPA                                                                                           6810
2408     HETAMIDO                                                                                            6505
2409     AMIGDALÓTOMO                                                                                        6530
2411     ANLODIPINO BESILATO                                                                                 6505
2412     AMILOSE                                                                                             6810
2413     DIETANOLAMIDA                                                                                       6810
2414     AMINIÓTOMO                                                                                          6515
2415     ÁC.6-HIDROX-2,5,7,8-TETRAMETILCROMANO-2CARBOXÍLICO                                                  6810
2416     TETRAQUIS(TRIFENILFOSFINA)PALÁDIO(0)                                                                6810
2417     AMINOBENZOATO DE POTÁSSIO                                                                           6505
2418     AMINOÁCIDOS                                                                                         6505
2419     AMINOLEVULINATO DE METILA                                                                           6505
2420     AMIODARONA                                                                                          6505
2422     AMNIÓTOMO                                                                                           6530
2423     AMOLADOR ELETRICO DE FACA                                                                           7320
2424     AMOLADOR FACA MANUAL                                                                                7330
2425     AMONÍACO                                                                                            6810
2426     PULEGONA                                                                                            6810
2427     IOIMBINA HIDROCLORETO                                                                               6810
2428     AMOROLFINA                                                                                          6505
2429     AMORTECEDOR - ESTACIONAMENTO                                                                        6350
2431     AMORTECEDOR DE VIBRACAO ( FERRAGEM )                                                                5340
2432     AMORTECEDOR DE VIBRACAO DE TUBO E CANO                                                              4730
2433     AMORTECEDOR TIPO STOCKBRIDGE PARA LTS                                                               4730
2435     AMOSTRADOR AUTOMATICO - DISSOLUCAO COMPRIMIDO                                                       6640
2436     AMOXICILINA                                                                                         6505
2437     BICARBONATO DE AMÔNIO                                                                               6810
2438     ÁCIDO BEHENICO                                                                                      6810
2439     ACROLEÍNA                                                                                           6810
2440     AMPERÍMETRO                                                                                         6625
2442     AMPLIADOR DE FOTOGRAFIA                                                                             6740
2443     AMPLIFICADOR - USO LABORATORIO                                                                      6640
2444     AMPLIFICADOR ABREUGRAFIA                                                                            6525
2446     AMPLIFICADOR DE ÁUDIO                                                                               5830
2447     AMPLIFICADOR DE AUDIO / FREQUENCIA DE AERONAVE                                                      5826
2448     AMPLIFICADOR POTÊNCIA                                                                               5820
2449     AMPLIFICADOR FONE OUVIDO                                                                            5805
2451     AMPLIFICADOR DE SINAL TELEFONICO                                                                    5805
2452     AMPLIFICADOR DE TORQUE                                                                              3010
2453     AMPLIFICADOR DE VIDEO                                                                               5836
2454     AMPLIFICADOR DISTRIBUIDOR DE VIDEO                                                                  5820
2455     SUPORTE PARA SORO                                                                                   6530
2457     AMPLIFICADOR LINEAR                                                                                 5962
2458     AMPLIFICADOR OPERACIONAL                                                                            5962
2460     AMPOLA CONTA - GOTAS                                                                                8145
2461     DECANOL                                                                                             6810
2462     AMPRENAVIR                                                                                          6505
2463     SAXAGLIPTINA                                                                                        6505
2464     ANALISADOR PARÂMETROS                                                                               6625
2465     ANALISADOR DE ALTERNADOR                                                                            6625
2466     ANALISADOR DE CIRCUITO DE BOBINA E RESISTÊNCIA                                                      6625
2467     CNALISADOR DE DESCARGA DE MOTOR A GASOLINA                                                          6630
2470     ANALISADOR DE ESPECTRO                                                                              6625
2472     ANALISADOR DE GÁS                                                                                   6630
2473     ANALISADOR DE LINHA TELEFONICA                                                                      6625
2474     ANALISADOR RPM E PERMANÊNCIA                                                                        6625
2475     ANALISADOR LABORATÓRIO                                                                              6640
2476     ANALISADOR DE VIBRACAO DE AERONAVE                                                                  4920
2477     ANALISADOR DE BATERIA                                                                               4910
2478     ANALISADOR EFICIÊNCIA VEGETAL - FLUORÔMETRO                                                         6636
2479     ANALISADOR - PEÇA/COMPONENTE                                                                        6625
2480     ANALISADOR CONCENTRAÇÃO OXIGÊNIO                                                                    6515
2481     ANALISADOR QUÍMICO                                                                                  6630
2482     ANASTROZOL                                                                                          6505
2484     ANCINHO DE BOMBEIRO                                                                                 4210
